METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Local occupancy (Duration = 100 time steps)

Population             Number of Time Steps
                   Minimum    -1 S.D.    Average    +1 S.D.    Maximum
 1 Pop 1.......       15.0       71.1       91.4      111.8      100.0
 2 Pop 2.......        9.0       11.2       31.9       52.6      100.0
 3 Pop 3.......        0.0       -2.2        6.4       14.9       63.0
 4 Pop 4.......        6.0       88.1       98.4      108.7      100.0
 5 Pop 5.......        0.0        7.5       17.5       27.5       68.0
 6 Pop 6.......        0.0       11.5       31.6       51.7      100.0
 7 Pop 7.......        0.0       -0.8        8.5       17.9       69.0
 8 Pop 8.......        2.0       89.8       98.7      107.7      100.0
 9 Pop 9.......        9.0       22.1       51.1       80.1      100.0
10 Pop 10......        0.0        0.2        3.9        7.6        9.0
11 Pop 11......        0.0        0.3        3.9        7.6        9.0
12 Pop 12......       16.0       75.8       93.6      111.3      100.0
13 Pop 13......       14.0       82.8       96.5      110.2      100.0
14 Pop 14......        0.0        0.0        3.3        6.7        9.0
15 Pop 15......        0.0        0.3        4.0        7.7        9.0
16 Pop 16......        0.0        4.9        7.6       10.3        9.0
17 Pop 17......        2.0       19.4       48.7       77.9      100.0
18 Pop 18......        0.0        4.6       11.6       18.5       48.0
19 Pop 19......        9.0        9.1       14.2       19.3       62.0
20 Pop 20......        0.0        4.2       14.6       25.0       71.0
21 Pop 21......        0.0        0.9       27.2       53.4      100.0
22 Pop 22......        0.0        4.8        7.5       10.2        9.0
23 Pop 23......        2.0       10.3       24.6       39.0      100.0
24 Pop 24......        0.0        3.2        6.5        9.9        9.0
25 Pop 25......       12.0       75.1       93.5      111.8      100.0
26 Pop 26......        0.0        8.0       23.4       38.7      100.0
27 Pop 27......        0.0        7.3        8.6       10.0        9.0
28 Pop 28......        0.0        8.2        8.9        9.6        9.0
29 Pop 29......        1.0       60.2       86.9      113.6      100.0
30 Pop 30......        0.0        2.3        5.9        9.4        9.0
31 Pop 31......        0.0        2.1        5.5        8.8        9.0
32 Pop 32......        0.0        8.7       18.5       28.2       76.0
33 Pop 33......        0.0        2.1        5.5        8.9        9.0
34 Pop 34......        0.0        2.6        6.0        9.4        9.0
35 Pop 35......        0.0        0.2        3.8        7.5        9.0
36 36S1-T1.....        1.0        2.5       11.4       20.2       79.0
37 37S1-T1.....        1.0        4.7       25.2       45.7       92.0
38 38S9-T1.....        1.0        2.9       17.6       32.4       92.0
39 39S12-T1....        1.0        3.3       17.2       31.2       84.0
40 40S12-T1....        1.0        1.5       11.5       21.4       79.0
41 41S12-T1....        2.0       13.7       42.4       71.1       92.0
42 42S12-T1....        1.0        1.3       11.1       20.8       91.0
43 43S12-T1....        2.0       14.0       43.3       72.5       92.0
44 44S12-T1....        1.0        0.5        6.1       11.6       46.0
45 45S12-T1....        1.0        2.3       16.6       30.9       92.0
46 46S13-T1....        1.0        1.5        6.9       12.2       31.0
47 47S13-T1....        1.0        1.2        7.0       12.8       42.0
48 48S13-T1....        1.0        3.1       16.6       30.1       92.0
49 49S13-T1....        1.0        2.0       10.9       19.9       63.0
50 50S17-T1....        0.0        1.1        6.3       11.6       38.0
51 51S19-T1....        1.0        1.1        6.7       12.2       36.0
52 52S19-T1....        1.0        2.7       17.0       31.2       92.0
53 53S25-T1....        1.0        1.2        6.7       12.2       43.0
54 54S32-T1....        0.0        1.1       10.7       20.3       61.0
