METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal explosion risk

 Threshold  Probability     95% confidence interval
        25       1.0000          0.9720   1.0000
        26       0.9990          0.9710   1.0000
        27       0.9990          0.9710   1.0000
        28       0.9990          0.9710   1.0000
        29       0.9990          0.9710   1.0000
        30       0.9990          0.9710   1.0000
        31       0.9990          0.9710   1.0000
        32       0.9990          0.9710   1.0000
        33       0.9990          0.9710   1.0000
        34       0.9990          0.9710   1.0000
        35       0.9990          0.9710   1.0000
        36       0.9980          0.9700   1.0000
        37       0.9980          0.9700   1.0000
        38       0.9980          0.9700   1.0000
        39       0.9970          0.9690   1.0000
        40       0.9970          0.9690   1.0000
        41       0.9960          0.9680   1.0000
        42       0.9960          0.9680   1.0000
        43       0.9960          0.9680   1.0000
        44       0.9960          0.9680   1.0000
        45       0.9960          0.9680   1.0000
        46       0.9960          0.9680   1.0000
        47       0.9940          0.9660   1.0000
        48       0.9930          0.9650   1.0000
        49       0.9910          0.9630   1.0000
        50       0.9900          0.9620   1.0000
        51       0.9880          0.9600   1.0000
        52       0.9860          0.9580   1.0000
        53       0.9840          0.9560   1.0000
        54       0.9820          0.9540   1.0000
        55       0.9790          0.9510   1.0000
        56       0.9760          0.9480   1.0000
        57       0.9720          0.9440   1.0000
        58       0.9690          0.9410   0.9970
        59       0.9680          0.9400   0.9960
        60       0.9650          0.9370   0.9930
        61       0.9620          0.9340   0.9900
        62       0.9570          0.9290   0.9850
        63       0.9500          0.9220   0.9780
        64       0.9420          0.9140   0.9700
        65       0.9300          0.9020   0.9580
        66       0.9200          0.8920   0.9480
        67       0.9120          0.8840   0.9400
        68       0.8970          0.8690   0.9250
        69       0.8920          0.8640   0.9200
        70       0.8810          0.8530   0.9090
        71       0.8740          0.8460   0.9020
        72       0.8640          0.8360   0.8920
        73       0.8560          0.8280   0.8840
        74       0.8410          0.8130   0.8690
        75       0.8250          0.7970   0.8530
        76       0.8110          0.7830   0.8390
        77       0.7950          0.7670   0.8230
        78       0.7770          0.7490   0.8050
        79       0.7530          0.7250   0.7810
        80       0.7330          0.7050   0.7610
        81       0.7150          0.6870   0.7430
        82       0.6840          0.6560   0.7120
        83       0.6700          0.6420   0.6980
        84       0.6430          0.6150   0.6710
        85       0.6300          0.6020   0.6580
        86       0.6080          0.5800   0.6360
        87       0.5810          0.5530   0.6090
        88       0.5610          0.5330   0.5890
        89       0.5430          0.5150   0.5710
        90       0.5180          0.4900   0.5460
        91       0.4930          0.4650   0.5210
        92       0.4620          0.4340   0.4900
        93       0.4400          0.4120   0.4680
        94       0.4140          0.3860   0.4420
        95       0.3960          0.3680   0.4240
        96       0.3770          0.3490   0.4050
        97       0.3610          0.3330   0.3890
        98       0.3490          0.3210   0.3770
        99       0.3250          0.2970   0.3530
       100       0.2980          0.2700   0.3260
       101       0.2760          0.2480   0.3040
       102       0.2580          0.2300   0.2860
       103       0.2390          0.2110   0.2670
       104       0.2290          0.2010   0.2570
       105       0.2100          0.1820   0.2380
       106       0.1880          0.1600   0.2160
       107       0.1750          0.1470   0.2030
       108       0.1580          0.1300   0.1860
       109       0.1450          0.1170   0.1730
       110       0.1350          0.1070   0.1630
       111       0.1270          0.0990   0.1550
       112       0.1120          0.0840   0.1400
       113       0.1000          0.0720   0.1280
       114       0.0870          0.0590   0.1150
       115       0.0850          0.0570   0.1130
       116       0.0770          0.0490   0.1050
       117       0.0660          0.0380   0.0940
       118       0.0590          0.0310   0.0870
       119       0.0530          0.0250   0.0810
       120       0.0440          0.0160   0.0720
       121       0.0400          0.0120   0.0680
       122       0.0360          0.0080   0.0640
       123       0.0340          0.0060   0.0620
       124       0.0280          0.0000   0.0560
       125       0.0250          0.0000   0.0530
       126       0.0230          0.0000   0.0510
       127       0.0210          0.0000   0.0490
       128       0.0180          0.0000   0.0460
       129       0.0150          0.0000   0.0430
       130       0.0120          0.0000   0.0400
       131       0.0090          0.0000   0.0370
       132       0.0050          0.0000   0.0330
       133       0.0040          0.0000   0.0320
       134       0.0040          0.0000   0.0320
       135       0.0040          0.0000   0.0320
       136       0.0040          0.0000   0.0320
       137       0.0040          0.0000   0.0320
       138       0.0040          0.0000   0.0320
       139       0.0020          0.0000   0.0300
       140       0.0010          0.0000   0.0290
       141       0.0010          0.0000   0.0290
