METAPOPULATION MODEL results; Date=8/6/2023 Time=09:37:55
===========================================================
B20




   54 populations (54 included in summation)
 1000 replications;  Duration = 100
===========================================================

Terminal extinction risk

 Threshold  Probability     95% confidence interval
        25       0.0010          0.0000   0.0290
        26       0.0010          0.0000   0.0290
        27       0.0010          0.0000   0.0290
        28       0.0010          0.0000   0.0290
        29       0.0010          0.0000   0.0290
        30       0.0010          0.0000   0.0290
        31       0.0010          0.0000   0.0290
        32       0.0010          0.0000   0.0290
        33       0.0010          0.0000   0.0290
        34       0.0010          0.0000   0.0290
        35       0.0020          0.0000   0.0300
        36       0.0020          0.0000   0.0300
        37       0.0020          0.0000   0.0300
        38       0.0030          0.0000   0.0310
        39       0.0030          0.0000   0.0310
        40       0.0040          0.0000   0.0320
        41       0.0040          0.0000   0.0320
        42       0.0040          0.0000   0.0320
        43       0.0040          0.0000   0.0320
        44       0.0040          0.0000   0.0320
        45       0.0040          0.0000   0.0320
        46       0.0060          0.0000   0.0340
        47       0.0070          0.0000   0.0350
        48       0.0090          0.0000   0.0370
        49       0.0100          0.0000   0.0380
        50       0.0120          0.0000   0.0400
        51       0.0140          0.0000   0.0420
        52       0.0160          0.0000   0.0440
        53       0.0180          0.0000   0.0460
        54       0.0210          0.0000   0.0490
        55       0.0240          0.0000   0.0520
        56       0.0280          0.0000   0.0560
        57       0.0310          0.0030   0.0590
        58       0.0320          0.0040   0.0600
        59       0.0350          0.0070   0.0630
        60       0.0380          0.0100   0.0660
        61       0.0430          0.0150   0.0710
        62       0.0500          0.0220   0.0780
        63       0.0580          0.0300   0.0860
        64       0.0700          0.0420   0.0980
        65       0.0800          0.0520   0.1080
        66       0.0880          0.0600   0.1160
        67       0.1030          0.0750   0.1310
        68       0.1080          0.0800   0.1360
        69       0.1190          0.0910   0.1470
        70       0.1260          0.0980   0.1540
        71       0.1360          0.1080   0.1640
        72       0.1440          0.1160   0.1720
        73       0.1590          0.1310   0.1870
        74       0.1750          0.1470   0.2030
        75       0.1890          0.1610   0.2170
        76       0.2050          0.1770   0.2330
        77       0.2230          0.1950   0.2510
        78       0.2470          0.2190   0.2750
        79       0.2670          0.2390   0.2950
        80       0.2850          0.2570   0.3130
        81       0.3160          0.2880   0.3440
        82       0.3300          0.3020   0.3580
        83       0.3570          0.3290   0.3850
        84       0.3700          0.3420   0.3980
        85       0.3920          0.3640   0.4200
        86       0.4190          0.3910   0.4470
        87       0.4390          0.4110   0.4670
        88       0.4570          0.4290   0.4850
        89       0.4820          0.4540   0.5100
        90       0.5070          0.4790   0.5350
        91       0.5380          0.5100   0.5660
        92       0.5600          0.5320   0.5880
        93       0.5860          0.5580   0.6140
        94       0.6040          0.5760   0.6320
        95       0.6230          0.5950   0.6510
        96       0.6390          0.6110   0.6670
        97       0.6510          0.6230   0.6790
        98       0.6750          0.6470   0.7030
        99       0.7020          0.6740   0.7300
       100       0.7240          0.6960   0.7520
       101       0.7420          0.7140   0.7700
       102       0.7610          0.7330   0.7890
       103       0.7710          0.7430   0.7990
       104       0.7900          0.7620   0.8180
       105       0.8120          0.7840   0.8400
       106       0.8250          0.7970   0.8530
       107       0.8420          0.8140   0.8700
       108       0.8550          0.8270   0.8830
       109       0.8650          0.8370   0.8930
       110       0.8730          0.8450   0.9010
       111       0.8880          0.8600   0.9160
       112       0.9000          0.8720   0.9280
       113       0.9130          0.8850   0.9410
       114       0.9150          0.8870   0.9430
       115       0.9230          0.8950   0.9510
       116       0.9340          0.9060   0.9620
       117       0.9410          0.9130   0.9690
       118       0.9470          0.9190   0.9750
       119       0.9560          0.9280   0.9840
       120       0.9600          0.9320   0.9880
       121       0.9640          0.9360   0.9920
       122       0.9660          0.9380   0.9940
       123       0.9720          0.9440   1.0000
       124       0.9750          0.9470   1.0000
       125       0.9770          0.9490   1.0000
       126       0.9790          0.9510   1.0000
       127       0.9820          0.9540   1.0000
       128       0.9850          0.9570   1.0000
       129       0.9880          0.9600   1.0000
       130       0.9910          0.9630   1.0000
       131       0.9950          0.9670   1.0000
       132       0.9960          0.9680   1.0000
       133       0.9960          0.9680   1.0000
       134       0.9960          0.9680   1.0000
       135       0.9960          0.9680   1.0000
       136       0.9960          0.9680   1.0000
       137       0.9960          0.9680   1.0000
       138       0.9980          0.9700   1.0000
       139       0.9990          0.9710   1.0000
       140       0.9990          0.9710   1.0000
       141       1.0000          0.9720   1.0000
